"filename", "language", "JSON", "JavaScript", "CSS", "wxs", "wxml", "Markdown", "comment", "blank", "total"
"d:\project\travel\README.md", "Markdown", 0, 0, 0, 0, 0, 570, 0, 7, 577
"d:\project\travel\cloudfunctions\actionAct\config.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\project\travel\cloudfunctions\actionAct\index.js", "JavaScript", 0, 28, 0, 0, 0, 0, 16, 4, 48
"d:\project\travel\cloudfunctions\actionAct\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\project\travel\cloudfunctions\callback\config.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 7
"d:\project\travel\cloudfunctions\callback\index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 2, 7, 26
"d:\project\travel\cloudfunctions\callback\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 14
"d:\project\travel\cloudfunctions\login\config.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\project\travel\cloudfunctions\login\index.js", "JavaScript", 0, 81, 0, 0, 0, 0, 19, 5, 105
"d:\project\travel\cloudfunctions\login\package-lock.json", "JSON", 887, 0, 0, 0, 0, 0, 0, 1, 888
"d:\project\travel\cloudfunctions\login\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\project\travel\cloudfunctions\openapi\config.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 15
"d:\project\travel\cloudfunctions\openapi\index.js", "JavaScript", 0, 64, 0, 0, 0, 0, 8, 15, 87
"d:\project\travel\cloudfunctions\openapi\package.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\project\travel\cloudfunctions\user-login-register\WXBizDataCrypt.js", "JavaScript", 0, 24, 0, 0, 0, 0, 3, 8, 35
"d:\project\travel\cloudfunctions\user-login-register\index.js", "JavaScript", 0, 54, 0, 0, 0, 0, 3, 12, 69
"d:\project\travel\cloudfunctions\user-login-register\package-lock.json", "JSON", 459, 0, 0, 0, 0, 0, 0, 1, 460
"d:\project\travel\cloudfunctions\user-login-register\package.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\project\travel\cloudfunctions\user-session\config\example.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"d:\project\travel\cloudfunctions\user-session\index.js", "JavaScript", 0, 51, 0, 0, 0, 0, 3, 9, 63
"d:\project\travel\cloudfunctions\user-session\package-lock.json", "JSON", 459, 0, 0, 0, 0, 0, 0, 1, 460
"d:\project\travel\cloudfunctions\user-session\package.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 1, 16
"d:\project\travel\miniprogram\app.js", "JavaScript", 0, 34, 0, 0, 0, 0, 17, 2, 53
"d:\project\travel\miniprogram\app.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 61
"d:\project\travel\miniprogram\app.wxss", "CSS", 0, 0, 4150, 0, 0, 0, 10, 22, 4182
